[00:00:11] [Server thread/WARN]: A11y_UwU moved wrongly!
[00:04:33] [Server thread/WARN]: A11y_UwU moved too quickly! -3.699397040389231,8.867098785230667,15.431827979388544
[00:05:03] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/131118, l='ServerLevel[world]', x=-462.17, y=76.00, z=287.75]
[00:06:33] [Server thread/INFO]: One[local] logged in with entity id 132026 at (-47.729095865138255, 114.0, -310.0998157832438)
[00:06:33] [Server thread/INFO]: One joined the game
[00:07:20] [Server thread/INFO]: Two[local] logged in with entity id 132286 at (-58.69999998807907, 114.0, -277.44881328002367)
[00:07:20] [Server thread/INFO]: Two joined the game
[00:11:18] [Server thread/WARN]: Fetching packet for removed entity class_1542['Air'/133523, l='ServerLevel[world]', x=-462.91, y=61.00, z=360.43]
[00:13:18] [Server thread/INFO]: Two was slain by A11y_UwU
[00:13:18] [Server thread/INFO]: Two lost connection: Killed
[00:13:18] [Server thread/INFO]: Two left the game
[00:14:16] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=-61, y=120, z=-292} class_2338{x=-61, y=120, z=-291}
[00:14:17] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=-61, y=118, z=-287} class_2338{x=-61, y=118, z=-286}
[00:14:17] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=-61, y=118, z=-287} class_2338{x=-61, y=118, z=-286}
[00:14:18] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=-61, y=118, z=-287} class_2338{x=-61, y=118, z=-286}
[00:14:18] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=-61, y=118, z=-287} class_2338{x=-61, y=118, z=-286}
[00:14:18] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=-61, y=118, z=-287} class_2338{x=-61, y=118, z=-286}
[00:14:18] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=-61, y=118, z=-287} class_2338{x=-61, y=118, z=-286}
[00:14:18] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=-61, y=118, z=-287} class_2338{x=-61, y=118, z=-286}
[00:16:29] [Server thread/INFO]: A11y_UwU lost connection: Disconnected
[00:16:29] [Server thread/INFO]: A11y_UwU left the game
[00:18:38] [User Authenticator #21/INFO]: UUID of player A11y_UwU is cdf70681-d8c8-4cdb-9b1a-97a236ce8b1a
[00:18:38] [Server thread/INFO]: A11y_UwU[/127.0.0.1:56297] logged in with entity id 136638 at (-50.85012962598954, 114.0, -302.21225245088254)
[00:18:38] [Server thread/INFO]: A11y_UwU joined the game
[00:18:39] [Netty Server IO #2/INFO]: Player A11y_UwU joined with a matching carpet client
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Torch'/136756, l='ServerLevel[world]', x=-57.31, y=114.53, z=-265.56]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Torch'/136756, l='ServerLevel[world]', x=-57.31, y=114.53, z=-265.56]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136758, l='ServerLevel[world]', x=-63.71, y=116.46, z=-264.37]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136758, l='ServerLevel[world]', x=-63.71, y=116.46, z=-264.37]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136762, l='ServerLevel[world]', x=-63.73, y=119.30, z=-265.56]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136762, l='ServerLevel[world]', x=-63.73, y=119.30, z=-265.56]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136767, l='ServerLevel[world]', x=-63.40, y=117.51, z=-266.28]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136767, l='ServerLevel[world]', x=-63.40, y=117.51, z=-266.28]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136771, l='ServerLevel[world]', x=-56.72, y=113.61, z=-272.46]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136771, l='ServerLevel[world]', x=-56.72, y=113.61, z=-272.46]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Torch'/136774, l='ServerLevel[world]', x=-57.61, y=114.26, z=-270.51]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Torch'/136774, l='ServerLevel[world]', x=-57.61, y=114.26, z=-270.51]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136775, l='ServerLevel[world]', x=-56.63, y=113.30, z=-273.34]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136775, l='ServerLevel[world]', x=-56.63, y=113.30, z=-273.34]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136779, l='ServerLevel[world]', x=-57.60, y=122.51, z=-272.37]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136779, l='ServerLevel[world]', x=-57.60, y=122.51, z=-272.37]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Slime Block'/136780, l='ServerLevel[world]', x=-61.64, y=113.29, z=-272.26]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Slime Block'/136780, l='ServerLevel[world]', x=-61.64, y=113.29, z=-272.26]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136784, l='ServerLevel[world]', x=-63.71, y=117.64, z=-271.45]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136784, l='ServerLevel[world]', x=-63.71, y=117.64, z=-271.45]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136788, l='ServerLevel[world]', x=-60.38, y=113.54, z=-276.35]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136788, l='ServerLevel[world]', x=-60.38, y=113.54, z=-276.35]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136789, l='ServerLevel[world]', x=-62.25, y=118.35, z=-275.55]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136789, l='ServerLevel[world]', x=-62.25, y=118.35, z=-275.55]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136790, l='ServerLevel[world]', x=-62.69, y=113.54, z=-277.45]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136790, l='ServerLevel[world]', x=-62.69, y=113.54, z=-277.45]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136791, l='ServerLevel[world]', x=-62.63, y=119.27, z=-276.30]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136791, l='ServerLevel[world]', x=-62.63, y=119.27, z=-276.30]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136792, l='ServerLevel[world]', x=-63.50, y=116.61, z=-276.61]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136792, l='ServerLevel[world]', x=-63.50, y=116.61, z=-276.61]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136793, l='ServerLevel[world]', x=-63.33, y=118.52, z=-279.26]
[00:18:59] [Server thread/WARN]: Fetching packet for removed entity class_1542['Netherrack'/136793, l='ServerLevel[world]', x=-63.33, y=118.52, z=-279.26]
